Menu	Child Menus	Url	Created by	Display Name	Is Mega Menu	Is Visible	Last Updated on	New Window	Parent Menu	Parent Path	Related Model Page	Related Page	Sequence	Visible Groups	Website
Top Menu for Website 2	Dashboard [My Website 2]	/default-main-menu	John Cope	Top Menu for Website 2 [My Website 2]	FALSE	TRUE	2025-11-05 00:26:16	FALSE		964/			0		My Website 2
	My Inventory [My Website 2]
	Work Orders [My Website 2]
	Service Requests [My Website 2]
	Certificates [My Website 2]
	Bulk Upload [My Website 2]
	Retrieval [My Website 2]
	Invoices [My Website 2]
	Help [My Website 2]
Request Pickup		/portal/request/pickup	John Cope	Request Pickup [My Website 2]	FALSE	TRUE	2025-11-05 00:26:16	FALSE	Service Requests [My Website 2]	964/965/966/			10		My Website 2
Dashboard		/my/home	OdooBot	Dashboard [My Website 2]	FALSE	TRUE	2025-11-05 00:27:09	FALSE	Top Menu for Website 2 [My Website 2]	964/972/			10		My Website 2
Bulk Upload		/portal/documents/upload	OdooBot	Bulk Upload [My Website 2]	FALSE	TRUE	2025-11-05 00:41:39	FALSE	Documents	1/948/987/			10		My Website 2
Provide Feedback		/portal/feedback	OdooBot	Provide Feedback [My Website 2]	FALSE	TRUE	2025-11-05 00:41:39	FALSE	Help	1/992/994/			10		My Website 2
Request Destruction		/portal/request/destruction	John Cope	Request Destruction [My Website 2]	FALSE	TRUE	2025-11-05 00:26:16	FALSE	Service Requests [My Website 2]	964/965/967/			20		My Website 2
My Inventory		/my/inventory	OdooBot	My Inventory [My Website 2]	FALSE	TRUE	2025-11-05 00:27:09	FALSE	Top Menu for Website 2 [My Website 2]	964/975/			20		My Website 2
Document Retrieval		/portal/documents/retrieval	OdooBot	Document Retrieval [My Website 2]	FALSE	TRUE	2025-11-05 00:41:39	FALSE	Documents	1/948/989/			20		My Website 2
Portal Tour		/portal/tour	OdooBot	Portal Tour [My Website 2]	FALSE	TRUE	2025-11-05 00:41:39	FALSE	Help	1/992/996/			20		My Website 2
Other Services		/portal/request/service	John Cope	Other Services [My Website 2]	FALSE	TRUE	2025-11-05 00:26:16	FALSE	Service Requests [My Website 2]	964/965/968/			30		My Website 2
Work Orders		/my/work-orders	OdooBot	Work Orders [My Website 2]	FALSE	TRUE	2025-11-05 00:27:09	FALSE	Top Menu for Website 2 [My Website 2]	964/978/			30		My Website 2
Service Requests	Request Pickup [My Website 2]	/my/requests	John Cope	Service Requests [My Website 2]	FALSE	TRUE	2025-11-05 00:26:16	FALSE	Top Menu for Website 2 [My Website 2]	964/965/			40		My Website 2
	Request Destruction [My Website 2]
	Other Services [My Website 2]
Certificates		/my/certificates	OdooBot	Certificates [My Website 2]	FALSE	TRUE	2025-11-05 00:27:09	FALSE	Top Menu for Website 2 [My Website 2]	964/981/			50		My Website 2
Bulk Upload		/my/documents-upload	John Cope	Bulk Upload [My Website 2]	FALSE	TRUE	2025-11-05 00:26:16	TRUE	Top Menu for Website 2 [My Website 2]	964/969/			60		My Website 2
Retrieval		/dashboard/retrieval/retrieval	John Cope	Retrieval [My Website 2]	FALSE	TRUE	2025-11-05 00:26:16	FALSE	Top Menu for Website 2 [My Website 2]	964/970/			60		My Website 2
Invoices		/my/invoices	OdooBot	Invoices [My Website 2]	FALSE	TRUE	2025-11-05 00:27:09	FALSE	Top Menu for Website 2 [My Website 2]	964/984/			70		My Website 2
Help		/portal/help	OdooBot	Help [My Website 2]	FALSE	TRUE	2025-11-05 00:27:09	FALSE	Top Menu for Website 2 [My Website 2]	964/991/			100		My Website 2
